donor	receiver	compound	mass_rate	rate	frequency	community	medium
environment	L_kefiranofaciens	M_pnto__R_e	3.1424601599999876e-06	1.4399999999999942e-05	1.0	kefir	MILK
environment	L_mesenteroides	M_fol_e	2.9394582209999783e-06	6.689999999999951e-06	1.0	kefir	MILK
environment	L_mesenteroides	M_nac_e	2.7814676139528283e-06	2.2779999999613664e-05	1.0	kefir	MILK
environment	L_mesenteroides	M_pnto__R_e	2.7159834239986413e-06	1.2445714285708059e-05	0.28	kefir	MILK
environment	L_lactis	M_ribflv_e	2.1094623675e-06	5.574999999999998e-06	1.0	kefir	MILK
A_fabarum	L_mesenteroides	M_glu__L_e	1.9334485383134383e-06	1.3231832100200782e-05	0.01	kefir	MILK
environment	L_mesenteroides	M_ribflv_e	1.6875698940000002e-06	4.460000000000002e-06	1.0	kefir	MILK
environment	L_kefiranofaciens	M_thm_e	1.4793479924998066e-06	5.57499999999927e-06	1.0	kefir	MILK
environment	L_lactis	M_thm_e	7.396739962500001e-07	2.787499999999999e-06	1.0	kefir	MILK
environment	A_fabarum	M_fol_e	7.299654582149491e-07	1.6613499999998844e-06	1.0	kefir	MILK
environment	L_mesenteroides	M_thm_e	5.917391970000003e-07	2.230000000000001e-06	1.0	kefir	MILK
A_fabarum	L_kefiranofaciens	M_bz_e	3.0278299967096205e-07	2.4999999972832195e-06	0.68	kefir	MILK
L_kefiranofaciens	environment	M_oxa_e	2.2075733049588276e-07	2.5080645144330515e-06	0.31	kefir	MILK
A_fabarum	L_kefiranofaciens	M_oxa_e	2.200475000000001e-07	2.5000000000000006e-06	0.01	kefir	MILK
A_fabarum	environment	M_oxa_e	2.1264799203332173e-07	2.415932833062426e-06	0.67	kefir	MILK
L_lactis	environment	M_dhptd_e	1.651428750000001e-07	1.25e-06	1.0	kefir	MILK
L_mesenteroides	A_fabarum	M_acald_e	1.6797026130631383e-10	3.812965044045587e-09	0.02	kefir	MILK
